titleFR,titleEN,textFR,textEN,lang,link,src
"La parité, c'est maintenant",Gender equality now,Prédictions des chances des femmes d'obtenir une circonscription aux législatives de 2012.,Forecast of the chances of women to get a seat in the French 2012 congress elections.,FR,http://www.jeromecukier.net/projects/elections/parite.html,parite.png
Le découpage de Paris,Cutting Paris,Impact du découpage électoral de Paris sur les élections législatives,Impact of the composition of the voting districts on the upcoming congress election in Paris.,FR,http://www.jeromecukier.net/projects/elections/circonscriptions.html,circonscriptions.png
Prédictions et législatives,Forecast of congress,Prédictions statistiques des résultats des législatives 2012,Forecast of the chances of each major party to win a seat in the upcoming 2012 congress elections,FR,http://www.jeromecukier.net/projects/elections/projections.html,projections.png
Analyse du résultat des présidentielles,Analysis of the election results,Une interface pour comprendre et explorer les résultats de l'élection présidentielle de 2012.,An interface to understand and explore the results of the recent French presidential election,FR,http://www.jeromecukier.net/projects/elections/dtour2012.html,dtour2012.png
Étoiles filantes,Shooting stars,"Participation au concours <i><a href=""http://www.informationisbeautifulawards.com/2012/02/hollywood-dataviz-challenge-interactive-shortlist/"">Challenge of the Stars</a></i>.","Entry for the <i><a href=""http://www.informationisbeautifulawards.com/2012/02/hollywood-dataviz-challenge-interactive-shortlist/"">Challenge of the Stars</a></i> contest.",EN,http://www.jeromecukier.net/stuff/stars/stars.html,shootingstars.png
Tableau public,Tableau gallery,"Une sélection de mes travaux avec <a href=""http://public.tableausoftware.com"">Tableau Public</i>.","Selected visualizations done with <a href=""http://public.tableausoftware.com"">Tableau Public</i>.",EN,http://oecdfactblog.org/visualizations/tableaugallery,tableaugallery.png
Partages de l'Index Vivre Mieux,Sharing the Better Life Index,"Représentation du nombre de partages de l'application <a href=""http://oe.cd/bli"">Index Vivre Mieux</a> sur l'année écoulée.","A representation of the social activity around the <a href=""http://oe.cd/bli"">OECD Better Life Index</a> over the past year.",EN,http://oecdfactblog.org/visualizations/BLImap/blimap.html,bli-map.png
Plan interactif du métro,Interactive subway map,Un plan du métro parisien qui se déforme en fonction des temps de trajet,A Paris subway maps that distorts in function of actual travel times,FR,http://jeromecukier.net/projects/metro/map.html,metro.png
Meurtres en Amérique,Gun homicides in America,Une carte animée de tous les homicides commis avec des armes à feu en 2010, An animated map of all the gun deaths of 201°,EN,http://www.jeromecukier.net/projects/crime/murders.html,murders.png
Préférences de l'Index Vivre Mieux,Choices of the Better Life Index,"Une visualisation synthétique sur les choix des utilisateurs de l'<a href=""http://oe.cd/bli"">Index Vivre Mieux</a>.","A synthesis of the choices done by the users of the <a href=""http://oe.cd/bli"">OECD Better Life Index</a>.",EN,http://oecdfactblog.org/visualizations/BLImap/blicurves.html,bli-curves.png
L'environnement en 2050,Environment in 2050,"Une série de visualisations autour du livre <i><a href=""http://www.oecd-ilibrary.org/fr/environment/perspectives-de-l-environnement-de-l-ocde-a-l-horizon-2050_env_outlook-2012-fr"">Perspectives de l'Environnement de l'OCDE à l'horizon 2050</a></i>","A series of visualizations to support the book <i><a href=""http://www.oecd-ilibrary.org/environment/oecd-environmental-outlook-to-2050_9789264122246-en"">OECD Environmental Outlook to 2050</a></i>",EN,http://oecdfactblog.org/visualizations/EnvOutlook2050,envoutlook.png
